File_Path,Lines_of_Code,Purpose,Category,Key_Connections,Reusability_Level,Redundant,Redundant_Why,Merge_Plan
agents/core/agent_health.py,126,Agent health monitoring and diagnostics,Monitoring,agent_registry.py → workflow_monitor.py,Medium,NO,"Unique health monitoring functionality providing agent diagnostics and health checks not available elsewhere. Implements: 1) Health check protocols, 2) Diagnostic tools, 3) Performance monitoring.","N/A - Essential health monitoring component with unique diagnostic capabilities. No redundancy detected. Provides critical health monitoring functionality not found elsewhere in the system."
agents/core/agent_integrator.py,108,Agent integration and coordination utilities,Agent_Management,agent_factory.py → agent_registry.py,Medium,PARTIAL,"Many methods (route_message, broadcast_message, get_agent_status, get_agents_by_capability) duplicate functionality already available in agent_registry.py. Specific issues: 1) Redundant routing logic, 2) Duplicate agent queries, 3) Overlapping coordination methods.","CONSOLIDATE: (1) Move unique integration logic (register_agent method enhancements) into agent_registry.py, (2) Remove wrapper methods that just call agent_registry methods, (3) Either keep AgentIntegrator as thin facade if needed by external components, or eliminate entirely and update imports to use agent_registry directly, (4) Reduce code duplication by eliminating redundant wrapper methods."
agents/core/recovery_strategies.py,106,Error recovery and resilience patterns,Error_Handling,Used by all agents,HIGHEST,NO,"Unique and essential recovery functionality providing error recovery patterns used by all agents throughout the system. Implements: 1) Retry strategies, 2) Circuit breakers, 3) Fallback mechanisms.","N/A - Critical error recovery patterns required by entire agent ecosystem. No redundancy detected. Provides essential error handling capabilities used system-wide."
agents/core/remote_kg_agent.py,106,Remote knowledge graph agent operations,Knowledge_Processing,kg/models/graph_manager.py,Medium,YES,"Contains duplicate _process_message_impl methods (lines 18-73 and 77-95) and incomplete update_knowledge_graph method. Remote KG functionality overlaps with existing reasoner.py and kg/models/graph_manager.py. Specific issues: 1) Duplicate message handling, 2) Incomplete implementation, 3) Redundant SPARQL functionality.","MERGE or ELIMINATE: (1) Remove duplicate _process_message_impl method (keep first implementation with SPARQL logic), (2) Complete update_knowledge_graph method or integrate into existing reasoner.py, (3) Evaluate if remote KG functionality is needed beyond what kg/models/remote_graph_manager.py already provides, (4) If unique, consolidate remote KG capabilities into reasoner.py as additional methods, (5) Delete file if functionality is redundant with existing components."
agents/core/workflow_persistence.py,147,Workflow state persistence and recovery,Workflow_Management,workflow_manager.py,Medium,NO,"Unique file-based workflow persistence functionality providing state management and version history not available elsewhere in the system. Implements: 1) Version history tracking, 2) JSON serialization with metadata, 3) Recovery mechanisms.","N/A - Essential workflow persistence component with unique state management capabilities. No redundancy detected. Provides critical workflow state persistence not found elsewhere."
agents/core/workflow_notifier.py,111,Workflow event notification system,Workflow_Management,workflow_monitor.py,Medium,NO,"Unique pub-sub event notification system providing workflow event broadcasting and subscriber management not available elsewhere. Implements: 1) Event broadcasting, 2) Subscriber management, 3) Notification routing.","N/A - Essential workflow notification component with unique event broadcasting capabilities. No redundancy detected. Provides critical event notification functionality."
agents/core/multi_agent.py,91,Multi-agent coordination patterns,Agent_Management,agent_registry.py,Medium,PARTIAL,"Contains duplicate _process_message_impl methods (lines 36-67 and 69-91) with second method overriding specific multi-agent delegation logic. Multi-agent coordination functionality overlaps with agent_registry.py and agent_factory.py. Specific issues: 1) Duplicate message handling, 2) Overlapping coordination logic, 3) Redundant delegation patterns.","REFACTOR or CONSOLIDATE: (1) Remove duplicate _process_message_impl method (keep first implementation with delegation logic), (2) Evaluate if multi-agent delegation pattern is needed beyond agent_registry.py capabilities, (3) If unique delegation logic is valuable, integrate into agent_registry.py as enhanced coordination feature, (4) Consider eliminating if agent_registry.py can handle multi-agent coordination adequately, (5) Focus on unique value-add of sub-agent delegation pattern."
agents/core/feature_z_agent.py,76,Feature Z specialized agent implementation,Specialized_Agent,base_agent.py,Low,YES,"Contains duplicate _process_message_impl methods (lines 18-41 and 45-67) and incomplete update_knowledge_graph method. Minimal placeholder implementation with unclear 'Feature Z' purpose. Specific issues: 1) No real functionality beyond logging, 2) Duplicate message handling, 3) Incomplete implementation.","DELETE: (1) Agent appears to be placeholder/template with no real business functionality, (2) Remove duplicate _process_message_impl method if keeping, (3) Complete implementation with actual Feature Z logic or eliminate entirely, (4) If template is needed, move to examples/ directory with clear template documentation, (5) RECOMMENDED: Delete as it provides no value to the system and is incomplete placeholder code."
agents/core/workflow_transaction.py,68,Transaction management for workflows,Workflow_Management,workflow_manager.py,Medium,NO,"Clean implementation providing ACID transaction support for workflows with proper rollback capabilities. Implements: 1) State capture and restore, 2) Async context management, 3) Atomic transactions.","N/A - Essential workflow transaction management with unique rollback functionality. No redundancy detected. Provides critical ACID compliance for workflow operations."
agents/core/sensor_agent.py,67,Real-time sensor data collection and monitoring,Specialized_Agent,base_agent.py,Medium,PARTIAL,"Very similar functionality and code structure to data_processor_agent.py. Both process data and update knowledge graph with nearly identical patterns. Specific issues: 1) Duplicate message processing, 2) Similar error handling, 3) Identical graph updates.","CONSOLIDATE: (1) Create generic DataHandlerAgent that can handle both sensor data and general data processing, (2) Add configuration to distinguish between sensor vs general data processing modes, (3) Merge common functionality into single implementation, (4) Keep specialized logic as configurable handlers, (5) Eliminate code duplication while preserving both use cases through parametrized implementation."
agents/core/data_processor_agent.py,65,High-performance data processing agent,Specialized_Agent,base_agent.py,Medium,PARTIAL,"Nearly identical code structure and functionality to sensor_agent.py. Both have same patterns. Specific issues: 1) Duplicate message handling, 2) Similar error handling, 3) Identical graph updates.","CONSOLIDATE: (1) Merge with sensor_agent.py into unified DataHandlerAgent, (2) Use configuration parameters to distinguish processing types, (3) Eliminate duplicate code while preserving both sensor and general data processing capabilities, (4) Create common base class for data handling agents, (5) Maintain distinct message types but shared implementation logic."
agents/core/agent_message.py,35,Standardized message format for agent communication,Communication,ALL inter-agent communication,HIGHEST,YES,"CRITICAL DUPLICATION: Two different AgentMessage implementations exist. Specific issues: 1) Dataclass vs Pydantic conflict, 2) Inconsistent field names, 3) Different validation approaches.","CRITICAL FIX: (1) Choose ONE AgentMessage implementation (recommend Pydantic-based in message_types.py for validation), (2) Update ALL imports throughout codebase to use single implementation, (3) DELETE either agent_message.py or the AgentMessage class in message_types.py, (4) Run comprehensive testing to ensure no functionality breaks, (5) Add linting rules to prevent future duplication of core communication classes."
agents/core/workflow_types.py,34,Workflow type definitions and enums,Type_System,All workflow components,Medium,NO,"Clean type definitions providing essential workflow status enums and dataclasses. Implements: 1) Status enums, 2) Step definitions, 3) Workflow structures.","N/A - Essential type system component with no duplication. Provides critical type definitions used throughout workflow system."
agents/core/message_types.py,24,Message type definitions for communication,Type_System,agent_message.py,Medium,NO,"PREFERRED IMPLEMENTATION: This is the correct Pydantic-based AgentMessage that should be used system-wide. Implements: 1) Proper validation, 2) UUID generation, 3) Comprehensive field structure. This is the target implementation for message standardization.","N/A - KEEP AS PRIMARY: This is the target implementation for AgentMessage consolidation. All imports should use this version after eliminating agents/core/agent_message.py. Essential communication infrastructure with proper validation."
agents/core/ttl_validation_agent.py,108,TTL file validation and quality checking,Validation,kg/schemas/ → utils/ttl_validator.py,Medium,YES,"Contains duplicate _process_message_impl methods (lines 18-33 and 37-59) and incomplete update_knowledge_graph method. Specific issues: 1) Duplicate validation logic, 2) Incomplete implementation, 3) Redundant with utils/ttl_validator.py.","REFACTOR or CONSOLIDATE: (1) Remove duplicate _process_message_impl method (keep first implementation with TTL validation logic), (2) Complete update_knowledge_graph method or remove if not needed, (3) Evaluate if agent wrapper is needed beyond direct utils/ttl_validator.py usage, (4) If agent interface is valuable, clean up implementation and remove duplicates, (5) Consider integrating TTL validation into existing validation workflows rather than separate agent."
agents/domain/__init__.py,22,Domain package initialization with proper imports,Package_Structure,agents/domain/ namespace,Low,NO,"Proper package initialization with comprehensive __all__ exports and clean import structure. Implements: 1) Clean exports, 2) Proper imports, 3) Domain agent organization.","N/A - Essential package structure with proper organization and exports. No redundancy detected. Provides critical domain agent organization."
agents/domain/code_review_agent.py,378,AST-based code analysis with complexity metrics,Domain_Agent,scientific_swarm_agent.py → kg/models/,HIGHEST,NO,"Sophisticated and comprehensive code analysis implementation. Implements: 1) AST parsing, 2) Complexity metrics, 3) Pattern detection, 4) Quality scoring. Single clean _process_message_impl method without duplicates.","N/A - EXCELLENT IMPLEMENTATION: Keep as-is. This is a high-quality, comprehensive code analysis agent with unique AST-based analysis capabilities, complexity calculations, pattern detection, and quality metrics. No redundancy detected and provides significant value for code review workflows."
agents/domain/vertex_email_agent.py,194,AI-powered email operations with Vertex AI integration,Domain_Agent,base_agent.py → integrations/vertex → kg/,High,NO,"Clean implementation with single _process_message_impl method. Implements: 1) Email operations, 2) AI enhancement, 3) Proper error handling, 4) Knowledge graph integration.","N/A - QUALITY IMPLEMENTATION: Keep as-is. Well-designed domain agent with comprehensive email functionality, AI enhancement simulation, proper error handling, and clean message processing. No redundancy issues and provides valuable email automation capabilities."
agents/domain/corporate_knowledge_agent.py,200,Enterprise knowledge management and retrieval,Domain_Agent,scientific_swarm_agent.py → kg/,High,NO,"Clean implementation with sophisticated document management functionality. Implements: 1) Document ingestion, 2) Knowledge querying, 3) Relationship management, 4) Graph integration.","N/A - QUALITY IMPLEMENTATION: Keep as-is. Well-designed enterprise knowledge management agent with comprehensive document operations, relationship handling, and proper knowledge graph integration. No redundancy issues and provides valuable corporate knowledge automation capabilities."
agents/domain/test_swarm_coordinator.py,231,Swarm coordination testing and validation,Domain_Agent,agents/core/ → tests/,Medium,NO,"Sophisticated swarm coordination agent with OpenAI integration. Implements: 1) Parallel test processing, 2) Progress tracking, 3) Code review integration, 4) OpenAI-powered fixes.","N/A - SOPHISTICATED IMPLEMENTATION: Keep as-is. Advanced swarm coordination functionality with OpenAI integration for automated test fixing. Proper parallel processing, progress tracking, and integration with code review capabilities. Provides valuable test automation and coordination functionality."
agents/domain/diary_agent.py,86,Activity logging and diary management,Domain_Agent,base_agent.py,Medium,YES,"Contains duplicate _process_message_impl methods with different message field formats. Specific issues: 1) Old vs new message format conflict, 2) Duplicate message handling, 3) Inconsistent field names.","CRITICAL FIX: (1) Remove duplicate _process_message_impl method (keep first implementation with diary functionality), (2) Update first method to use new message_types.py AgentMessage format with sender_id/recipient_id fields, (3) Ensure message field consistency throughout implementation, (4) Test diary functionality after field name migration, (5) Part of broader AgentMessage standardization effort."
agents/domain/judge_agent.py,91,Decision making and evaluation agent,Domain_Agent,base_agent.py,Medium,YES,"Contains duplicate _process_message_impl methods with different message field formats. Specific issues: 1) Old vs new message format conflict, 2) Duplicate message handling, 3) Inconsistent field names.","CRITICAL FIX: (1) Remove duplicate _process_message_impl method (keep first implementation with judge functionality), (2) Update first method to use new message_types.py AgentMessage format with sender_id/recipient_id fields, (3) Ensure evaluate_challenge functionality is preserved after migration, (4) Test judge decision-making after field name updates, (5) Part of broader AgentMessage standardization effort."
agents/domain/simple_agents.py,81,Basic agent implementation patterns and examples,Domain_Agent,base_agent.py,HIGHEST,YES,"Contains duplicate _process_message_impl methods with different message field formats. Specific issues: 1) Template method override conflicts, 2) Multiple affected subclasses, 3) Inconsistent message handling.","CRITICAL FIX: (1) Remove duplicate _process_message_impl method (keep first implementation with simple responder functionality), (2) Update first method to use new message_types.py AgentMessage format with sender_id/recipient_id fields, (3) Ensure all subclass agents (Finance, Coaching, Intelligence, Developer) maintain their specific response functionality, (4) Test all simple agent responses after migration, (5) This affects multiple agent implementations - high priority fix for template agents."
agents/utils/__init__.py,3,Utils package initialization,Package_Structure,agents/utils/ namespace,Low,NO,"Empty __init__.py file providing proper package structure. Implements: 1) Module organization, 2) Import structure, 3) Namespace management.","N/A - Essential package structure component. Required for proper Python module organization. No redundancy possible as it serves a fundamental structural purpose."
agents/utils/email_integration.py,132,Email integration utilities and helpers,Utility,agents/domain/vertex_email_agent.py,Medium,NO,"Clean implementation of email functionality with comprehensive features. Implements: 1) Real SMTP integration, 2) Simulation mode, 3) Credential management, 4) Error handling.","N/A - QUALITY IMPLEMENTATION: Keep as-is. Well-designed email utility with proper SMTP integration, simulation mode, and backward compatibility. No redundancy issues and provides essential email functionality."
kg/__init__.py,3,Knowledge graph package initialization,Package_Structure,kg/ namespace,Low,NO,"Empty __init__.py file providing proper package structure. Implements: 1) Module organization, 2) Import structure, 3) Namespace management.","N/A - Essential package structure component. Required for proper Python module organization. No redundancy possible as it serves a fundamental structural purpose."
kg/models/__init__.py,3,KG models package initialization,Package_Structure,kg/models/ namespace,Low,NO,"Empty __init__.py file providing proper package structure. Implements: 1) Module organization, 2) Import structure, 3) Namespace management.","N/A - Essential package structure component. Required for proper Python module organization. No redundancy possible as it serves a fundamental structural purpose."
kg/models/graph_manager.py,629,Enterprise-grade RDF storage with advanced features,Knowledge_Graph,Central hub for ALL knowledge operations,HIGHEST,NO,"⭐ EXCEPTIONAL IMPLEMENTATION: Sophisticated knowledge graph management. Implements: 1) Caching with TTL, 2) Security with RBAC, 3) Versioning with rollback, 4) Validation with rules.","N/A - GOLD STANDARD IMPLEMENTATION: Keep as-is. This is a high-quality, enterprise-grade knowledge graph manager with advanced features like caching, indexing, security, versioning, and validation. Represents the gold standard for system components with clean architecture, proper error handling, and comprehensive functionality."
kg/models/cache.py,79,AsyncLRUCache with TTL support and selective invalidation,Performance,graph_manager.py,HIGHEST,NO,"Clean implementation of async-aware LRU cache. Implements: 1) TTL support, 2) Thread safety, 3) LRU eviction, 4) Comprehensive statistics.","N/A - QUALITY IMPLEMENTATION: Keep as-is. Well-designed caching system with proper async locking, TTL support, and LRU eviction. No redundancy issues and provides critical performance optimization."
kg/models/graph_initializer.py,76,Ontology loading and bootstrap system,Knowledge_Graph,graph_manager.py → kg/schemas/,High,NO,"Clean implementation of graph initialization. Implements: 1) Ontology loading, 2) Sample data support, 3) Validation, 4) Multi-ontology handling.","N/A - QUALITY IMPLEMENTATION: Keep as-is. Well-structured initialization system with proper error handling and comprehensive ontology support. No redundancy issues and provides essential graph bootstrapping."
kg/models/remote_graph_manager.py,74,SPARQL endpoint integration with SSL support,Knowledge_Graph,graph_manager.py,High,PARTIAL,"Some functionality overlap with graph_manager.py in query handling. Specific issues: 1) Duplicate query methods, 2) Similar error handling, 3) Overlapping graph operations.","INTEGRATE: (1) Move unique remote SPARQL functionality into graph_manager.py as optional remote mode, (2) Keep SSL and compatibility enhancements, (3) Update graph_manager.py to support both local and remote operations through configuration, (4) Ensure all remote-specific error handling is preserved, (5) Delete file after integration."
kg/models/indexing.py,60,Triple indexing for query optimization,Performance,graph_manager.py,HIGHEST,NO,"Clean implementation of triple indexing. Implements: 1) Multiple indexing strategies, 2) Predicate indexing, 3) Type indexing, 4) Relationship indexing.","N/A - QUALITY IMPLEMENTATION: Keep as-is. Well-designed indexing system with comprehensive indexing strategies and proper statistics. No redundancy issues and provides critical query optimization."
kg/queries/__init__.py,3,Queries package initialization,Package_Structure,kg/queries/ namespace,Low,NO,"Empty __init__.py file providing proper package structure. Implements: 1) Module organization, 2) Import structure, 3) Namespace management.","N/A - Essential package structure component. Required for proper Python module organization. No redundancy possible as it serves a fundamental structural purpose."
kg/schemas/__init__.py,3,Schemas package initialization,Package_Structure,kg/schemas/ namespace,Low,NO,"Empty __init__.py file providing proper package structure. Implements: 1) Module organization, 2) Import structure, 3) Namespace management.","N/A - Essential package structure component. Required for proper Python module organization. No redundancy possible as it serves a fundamental structural purpose."
integrations/gather_gmail_info.py,181,Comprehensive Google Cloud Platform configuration analysis,Integration,verify_gmail_config.py → agents/domain/vertex_email_agent.py,HIGHEST,PARTIAL,"Some functionality overlap with verify_gmail_config.py. Specific issues: 1) Duplicate credential checking, 2) Similar API verification, 3) Overlapping environment setup.","CONSOLIDATE: (1) Move unique gcloud configuration and service account analysis into verify_gmail_config.py, (2) Enhance verify_gmail_config.py with comprehensive configuration checking, (3) Merge logging and environment setup, (4) Ensure all error handling and troubleshooting steps are preserved, (5) Delete file after consolidation."
integrations/verify_gmail_config.py,133,Live Gmail API connectivity testing and validation,Integration,gather_gmail_info.py → Gmail API,HIGHEST,NO,"Clean implementation of Gmail API verification. Implements: 1) OAuth setup, 2) Token management, 3) Error handling, 4) Troubleshooting guidance.","N/A - QUALITY IMPLEMENTATION: Keep as-is and enhance with functionality from gather_gmail_info.py. Well-designed verification system with proper error handling and comprehensive configuration checks."
integrations/check_vertex_models.py,71,Vertex AI model access verification and testing,Integration,agents/domain/vertex_email_agent.py → Vertex AI API,High,NO,"Clean implementation of Vertex AI verification. Implements: 1) Model initialization, 2) API checks, 3) Access verification, 4) Error guidance.","N/A - QUALITY IMPLEMENTATION: Keep as-is. Well-designed verification system with proper error handling and comprehensive model access checks. No redundancy issues and provides essential Vertex AI integration support."
integrations/setup_vertex_env.py,1,Vertex AI environment setup (minimal implementation),Integration,check_vertex_models.py,Low,YES,"Empty file that appears to be a placeholder. Specific issues: 1) No actual implementation, 2) Functionality exists in check_vertex_models.py, 3) Redundant file.","DELETE: (1) Remove empty file as it provides no functionality, (2) Ensure all Vertex AI setup is handled by check_vertex_models.py, (3) Update any imports or references to use check_vertex_models.py directly." 
