============================= test session starts ==============================
platform darwin -- Python 3.11.8, pytest-8.4.0, pluggy-1.6.0 -- /Users/nicholasbaro/Python/semant/venv/bin/python3.11
cachedir: .pytest_cache
rootdir: /Users/nicholasbaro/Python/semant
configfile: pytest.ini
plugins: anyio-4.9.0, cov-4.1.0, langsmith-0.3.43, mock-3.12.0, asyncio-1.0.0
asyncio: mode=Mode.AUTO, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
tests/test_knowledge_graph.py::test_knowledge_graph_initialization PASSED [ 44%]
tests/test_knowledge_graph.py::test_agent_knowledge_graph_access PASSED  [ 45%]
tests/test_knowledge_graph.py::test_knowledge_graph_updates PASSED       [ 45%]
tests/test_knowledge_graph.py::test_knowledge_graph_validation PASSED    [ 46%]
tests/test_knowledge_graph.py::test_triple_addition PASSED               [ 46%]
tests/test_knowledge_graph.py::test_graph_update PASSED                  [ 46%]
tests/test_knowledge_graph.py::test_graph_query PASSED                   [ 47%]
tests/test_knowledge_graph.py::test_semantic_relationships PASSED        [ 47%]
tests/test_knowledge_graph.py::test_complex_query_patterns PASSED        [ 48%]
tests/test_knowledge_graph.py::test_load_ontology PASSED                 [ 48%]
tests/test_knowledge_graph.py::test_load_sample_data PASSED              [ 48%]
tests/test_knowledge_graph.py::test_initialize_graph PASSED              [ 49%]
tests/test_knowledge_graph.py::test_add_triple PASSED                    [ 49%]
tests/test_knowledge_graph.py::test_query_graph PASSED                   [ 50%]
tests/test_knowledge_graph.py::test_performance_metrics PASSED           [ 50%]
tests/test_knowledge_graph.py::test_type_conversion PASSED               [ 51%]
tests/test_knowledge_graph.py::test_cache_metrics PASSED                 [ 51%]
tests/test_knowledge_graph.py::test_clear_metrics PASSED                 [ 51%]
tests/test_knowledge_graph.py::test_subclass_reasoning_sensors PASSED    [ 52%]
tests/test_knowledge_graph.py::test_average_sensor_reading_per_machine PASSED [ 52%]
tests/test_knowledge_graph.py::test_high_alert_sensors PASSED            [ 53%]
tests/test_knowledge_graph.py::test_machine_status_summary PASSED        [ 53%]
tests/test_knowledge_graph.py::test_query_no_data PASSED                 [ 53%]
tests/test_knowledge_graph.py::test_high_risk_machines PASSED            [ 54%]
tests/test_knowledge_graph.py::test_machine_risk_scoring PASSED          [ 54%]
tests/test_knowledge_graph.py::test_graph_versioning PASSED              [ 55%]
tests/test_knowledge_graph.py::test_graph_security PASSED                [ 55%]
tests/test_knowledge_graph.py::test_graph_validation PASSED              [ 55%]
tests/test_knowledge_graph.py::test_selective_cache_invalidation PASSED  [ 56%]
tests/test_knowledge_graph.py::test_enhanced_metrics PASSED              [ 56%]
tests/test_knowledge_graph.py::test_agentic_ontology_loading PASSED      [ 57%]
tests/test_knowledge_graph.py::test_kg_manager_cleanup PASSED            [ 57%]
tests/test_knowledge_graph.py::test_kg_manager_caching PASSED            [ 58%]
tests/test_knowledge_graph.py::test_kg_manager_cache_invalidation PASSED [ 58%]
tests/test_knowledge_graph.py::test_kg_manager_cache_ttl PASSED          [ 58%]
tests/test_knowledge_graph.py::test_kg_manager_concurrent_access PASSED  [ 59%]
tests/test_knowledge_graph.py::test_kg_manager_error_handling PASSED     [ 59%]
tests/test_knowledge_graph.py::test_kg_manager_metrics PASSED            [ 60%]
tests/test_knowledge_graph.py::test_kg_manager_bulk_operations PASSED    [ 60%]
tests/test_main_api.py::test_investigate PASSED                          [ 60%]
tests/test_main_api.py::test_traverse PASSED                             [ 61%]
tests/test_main_api.py::test_feedback PASSED                             [ 61%]
tests/test_performance.py::TestPerformance::test_message_processing_performance ERROR [ 62%]
tests/test_performance.py::TestPerformance::test_concurrent_operations ERROR [ 62%]
tests/test_performance.py::TestPerformance::test_resource_usage ERROR    [ 62%]
tests/test_performance.py::TestPerformance::test_recovery_performance ERROR [ 63%]
tests/test_prompt_agent.py::TestPromptAgent::test_prompt_generation FAILED [ 63%]
tests/test_prompt_agent.py::TestPromptAgent::test_knowledge_graph_integration FAILED [ 64%]
tests/test_prompt_agent.py::TestPromptAgent::test_prompt_validation FAILED [ 64%]
tests/test_prompt_agent.py::TestPromptAgent::test_prompt_metrics FAILED  [ 65%]
tests/test_reasoner.py::test_investigate_research_topic FAILED           [ 65%]
tests/test_reasoner.py::test_find_topic_entries FAILED                   [ 65%]
tests/test_reasoner.py::test_find_related_papers FAILED                  [ 66%]
tests/test_reasoner.py::test_extract_key_insights FAILED                 [ 66%]
tests/test_reasoner.py::test_calculate_confidence PASSED                 [ 67%]
tests/test_reasoner.py::test_traverse_knowledge_graph FAILED             [ 67%]
tests/test_reasoner.py::test_find_related_concepts PASSED                [ 67%]
tests/test_remote_graph_manager.py::test_query_graph PASSED              [ 68%]
tests/test_remote_graph_manager.py::test_update_graph PASSED             [ 68%]
tests/test_remote_graph_manager.py::test_import_graph PASSED             [ 69%]
tests/test_remote_graph_manager.py::test_remote_graph_manager_integration PASSED [ 69%]
tests/test_research_agent.py::test_initialize PASSED                     [ 69%]
tests/test_research_agent.py::test_process_message FAILED                [ 70%]
tests/test_research_agent.py::test_test_agent_initialization FAILED      [ 70%]
tests/test_research_agent.py::test_test_agent_message_history FAILED     [ 71%]
tests/test_research_agent.py::test_test_agent_knowledge_graph FAILED     [ 71%]
tests/test_research_agent.py::test_process_message_without_topic FAILED  [ 72%]
tests/test_research_agent.py::test_process_message_with_topic FAILED     [ 72%]
tests/test_research_agent.py::test_query_knowledge_graph_without_topic PASSED [ 72%]
tests/test_research_agent.py::test_query_knowledge_graph_with_topic PASSED [ 73%]
tests/test_research_agent.py::test_update_knowledge_graph PASSED         [ 73%]
tests/test_research_agent.py::test_confidence_scoring FAILED             [ 74%]
tests/test_research_agent.py::test_evidence_tracking FAILED              [ 74%]
tests/test_research_agent.py::test_multiple_research_paths FAILED        [ 74%]
tests/test_research_agent.py::test_error_handling FAILED                 [ 75%]
tests/test_research_agent.py::test_reasoner_integration FAILED           [ 75%]
tests/test_research_agent.py::test_research_findings_persistence FAILED  [ 76%]
tests/test_security_audit.py::test_security_levels ERROR                 [ 76%]
tests/test_security_audit.py::test_audit_logging ERROR                   [ 76%]
tests/test_security_audit.py::test_security_metrics ERROR                [ 77%]
tests/test_vertex_auth.py::test_credentials FAILED                       [ 77%]
tests/test_vertex_auth.py::test_vertex_initialization FAILED             [ 78%]
tests/test_vertex_auth.py::test_model_access FAILED                      [ 78%]
tests/test_vertex_email.py::test_vertex_email PASSED                     [ 79%]
tests/test_vertex_integration.py::test_vertex_initialization FAILED      [ 79%]
tests/test_vertex_integration.py::test_email_enhancement PASSED          [ 79%]
tests/test_vertex_integration.py::test_message_processing PASSED         [ 80%]
tests/test_vertex_integration.py::test_invalid_message_type FAILED       [ 80%]
tests/test_vertex_integration.py::test_knowledge_graph_integration FAILED [ 81%]
tests/test_vertex_integration.py::test_error_handling FAILED             [ 81%]
tests/test_vertex_integration.py::test_empty_subject_and_body FAILED     [ 81%]
tests/test_vertex_integration.py::test_credentials FAILED                [ 82%]
tests/test_vertex_integration.py::test_model_access FAILED               [ 82%]
tests/test_workflow_manager.py::test_agent_registration ERROR            [ 83%]
tests/test_workflow_manager.py::test_workflow_creation FAILED            [ 83%]
tests/test_workflow_manager.py::test_workflow_assembly FAILED            [ 83%]
tests/test_workflow_manager.py::test_workflow_execution ERROR            [ 84%]
tests/test_workflow_manager.py::test_workflow_supervision ERROR          [ 84%]
tests/test_workflow_manager.py::test_workflow_validation FAILED          [ 85%]
tests/test_workflow_manager.py::test_load_balancing FAILED               [ 85%]
tests/test_workflow_manager.py::test_workflow_metrics FAILED             [ 86%]
tests/test_workflow_manager.py::test_registry_state_consistency FAILED   [ 86%]
tests/test_workflow_manager.py::test_concurrent_registration_and_assembly FAILED [ 86%]
tests/test_workflow_manager.py::test_registry_recovery FAILED            [ 87%]
tests/test_workflow_manager.py::test_capability_conflicts FAILED         [ 87%]
tests/test_workflow_manager.py::test_registry_persistence FAILED         [ 88%]
tests/test_workflow_manager.py::test_anomaly_detection_workflow ERROR    [ 88%]
tests/test_workflow_manager.py::test_workflow_dependency_execution ERROR [ 88%]
tests/test_workflow_manager.py::test_workflow_timeout_handling ERROR     [ 89%]
tests/test_workflow_manager.py::test_workflow_error_recovery ERROR       [ 89%]
tests/test_workflow_manager.py::test_transaction_atomicity FAILED        [ 90%]
tests/test_workflow_manager.py::test_retry_logic FAILED                  [ 90%]
tests/test_workflow_manager.py::test_concurrent_transactions FAILED      [ 90%]
tests/test_workflow_manager.py::test_transaction_timeout FAILED          [ 91%]
tests/test_workflow_persistence.py::test_workflow_persistence_save_load PASSED [ 91%]
tests/test_workflow_persistence.py::test_workflow_persistence_versioning FAILED [ 92%]
tests/test_workflow_persistence.py::test_workflow_persistence_recovery FAILED [ 92%]
tests/test_workflow_persistence.py::test_workflow_monitoring FAILED      [ 93%]
tests/test_workflow_persistence.py::test_workflow_alerts PASSED          [ 93%]
tests/test_workflow_persistence.py::test_workflow_manager_integration FAILED [ 93%]
tests/unit/test_additional_agents.py::test_diary_write_and_query PASSED  [ 94%]
tests/unit/test_additional_agents.py::test_diary_agent PASSED            [ 94%]
tests/unit/test_additional_agents.py::test_judge_evaluates_email PASSED  [ 95%]
tests/unit/test_additional_agents.py::test_simple_agents_response PASSED [ 95%]
tests/unit/test_additional_agents.py::test_simple_agents_knowledge_graph PASSED [ 95%]
tests/unit/test_corporate_knowledge_agent.py::test_agent_initialization PASSED [ 96%]
tests/unit/test_corporate_knowledge_agent.py::test_document_ingest PASSED [ 96%]
tests/unit/test_corporate_knowledge_agent.py::test_knowledge_query PASSED [ 97%]
tests/unit/test_corporate_knowledge_agent.py::test_document_update PASSED [ 97%]
tests/unit/test_corporate_knowledge_agent.py::test_unknown_message_type PASSED [ 97%]
tests/unit/test_judge_agent.py::test_judge_evaluates_email ERROR         [ 98%]
tests/unit/test_test_agents.py::test_test_agent_initialization FAILED    [ 98%]
tests/unit/test_test_agents.py::test_test_agent_process_message FAILED   [ 99%]
tests/unit/test_test_agents.py::test_test_agent_update_knowledge_graph PASSED [ 99%]
tests/unit/test_vertex_email_agent.py::test_send_email PASSED            [100%]

==================================== ERRORS ====================================
_________________ ERROR at setup of test_agent_initialization __________________

factory = <agents.core.agent_factory.AgentFactory object at 0x12667fa90>

    @pytest_asyncio.fixture
    async def test_agent(factory):
        """Create a test agent with mixed capability types."""
        capabilities = {
            Capability("custom_capability", "A custom capability"),
            CapabilityType.KNOWLEDGE_GRAPH,
            CapabilityType.MESSAGE_PROCESSING
        }
>       agent = await factory.create_agent("test_agent", "test", capabilities)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

tests/test_dynamic_agents.py:72: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x12667fa90>
agent_type = 'test_agent', agent_id = 'test'
capabilities = {<CapabilityType.KNOWLEDGE_GRAPH: 'knowledge_graph'>, <[AttributeError("'str' object has no attribute 'value'") raised in repr()] Capability object at 0x140c7bd50>, <CapabilityType.MESSAGE_PROCESSING: 'message_processing'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: test_agent

agents/core/agent_factory.py:112: ValueError
__________________ ERROR at setup of test_capability_tracking __________________

factory = <agents.core.agent_factory.AgentFactory object at 0x140e54e90>

    @pytest_asyncio.fixture
    async def capability_agent(factory):
        """Create a capability tracking agent."""
        capabilities = {CapabilityType.KNOWLEDGE_GRAPH}
>       agent = await factory.create_agent("capability_agent", "test", capabilities)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

tests/test_dynamic_agents.py:79: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x140e54e90>
agent_type = 'capability_agent', agent_id = 'test'
capabilities = {<CapabilityType.KNOWLEDGE_GRAPH: 'knowledge_graph'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: capability_agent

agents/core/agent_factory.py:112: ValueError
______________ ERROR at setup of test_knowledge_graph_operations _______________

factory = <agents.core.agent_factory.AgentFactory object at 0x140b32cd0>

    @pytest_asyncio.fixture
    async def capability_agent(factory):
        """Create a capability tracking agent."""
        capabilities = {CapabilityType.KNOWLEDGE_GRAPH}
>       agent = await factory.create_agent("capability_agent", "test", capabilities)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

tests/test_dynamic_agents.py:79: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x140b32cd0>
agent_type = 'capability_agent', agent_id = 'test'
capabilities = {<CapabilityType.KNOWLEDGE_GRAPH: 'knowledge_graph'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: capability_agent

agents/core/agent_factory.py:112: ValueError
________________ ERROR at setup of test_integration_management _________________

    @pytest_asyncio.fixture
    async def setup_integration_test():
        """Set up test environment for integration testing."""
        registry = AgentRegistry()
        knowledge_graph = Graph()
        factory = AgentFactory(registry, knowledge_graph)
    
        # Register test agent templates
        await factory.register_agent_template(
            "integration_test",
            TestIntegrationAgent,
>           {CapabilityType.INTEGRATION_MANAGEMENT}
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        )

tests/test_integration_management.py:117: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

cls = <enum 'CapabilityType'>, name = 'INTEGRATION_MANAGEMENT'

    def __getattr__(cls, name):
        """
        Return the enum member matching `name`
    
        We use __getattr__ instead of descriptors or inserting into the enum
        class' __dict__ in order to support `name` and `value` being both
        properties for enum members (which live in the class' __dict__) and
        enum members themselves.
        """
        if _is_dunder(name):
            raise AttributeError(name)
        try:
            return cls._member_map_[name]
        except KeyError:
>           raise AttributeError(name) from None
E           AttributeError: INTEGRATION_MANAGEMENT

/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:784: AttributeError
___________________ ERROR at setup of test_module_management ___________________

    @pytest_asyncio.fixture
    async def setup_integration_test():
        """Set up test environment for integration testing."""
        registry = AgentRegistry()
        knowledge_graph = Graph()
        factory = AgentFactory(registry, knowledge_graph)
    
        # Register test agent templates
        await factory.register_agent_template(
            "integration_test",
            TestIntegrationAgent,
>           {CapabilityType.INTEGRATION_MANAGEMENT}
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        )

tests/test_integration_management.py:117: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

cls = <enum 'CapabilityType'>, name = 'INTEGRATION_MANAGEMENT'

    def __getattr__(cls, name):
        """
        Return the enum member matching `name`
    
        We use __getattr__ instead of descriptors or inserting into the enum
        class' __dict__ in order to support `name` and `value` being both
        properties for enum members (which live in the class' __dict__) and
        enum members themselves.
        """
        if _is_dunder(name):
            raise AttributeError(name)
        try:
            return cls._member_map_[name]
        except KeyError:
>           raise AttributeError(name) from None
E           AttributeError: INTEGRATION_MANAGEMENT

/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:784: AttributeError
__________________ ERROR at setup of test_integration_metrics __________________

    @pytest_asyncio.fixture
    async def setup_integration_test():
        """Set up test environment for integration testing."""
        registry = AgentRegistry()
        knowledge_graph = Graph()
        factory = AgentFactory(registry, knowledge_graph)
    
        # Register test agent templates
        await factory.register_agent_template(
            "integration_test",
            TestIntegrationAgent,
>           {CapabilityType.INTEGRATION_MANAGEMENT}
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        )

tests/test_integration_management.py:117: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

cls = <enum 'CapabilityType'>, name = 'INTEGRATION_MANAGEMENT'

    def __getattr__(cls, name):
        """
        Return the enum member matching `name`
    
        We use __getattr__ instead of descriptors or inserting into the enum
        class' __dict__ in order to support `name` and `value` being both
        properties for enum members (which live in the class' __dict__) and
        enum members themselves.
        """
        if _is_dunder(name):
            raise AttributeError(name)
        try:
            return cls._member_map_[name]
        except KeyError:
>           raise AttributeError(name) from None
E           AttributeError: INTEGRATION_MANAGEMENT

/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:784: AttributeError
____ ERROR at setup of TestPerformance.test_message_processing_performance _____

self = <tests.test_performance.TestPerformance object at 0x1121b4310>

    @pytest_asyncio.fixture
    async def setup_performance_test(self):
